title,author,average_rate,genre,summary,link,year,category
The Chronology of Water,Lidia Yuknavitch,4.22,Memoir,"This is not your mother's memoir. In The Chronology of Water, Lidia Yuknavitchexpertly moves the reader through issues of gender, sexuality, violence, and thefamily from the point of view of a lifelong swimmer turned artist. In writingthat explores the nature of memoir itself, her story traces the effect ofextreme grief on a young woman's developing sexuality that some define asuntraditional because of her attraction to both men and women. Her emergence asa writer evolves at the same time and takes the narrator on a journey ofaddiction, self-destruction, and ultimately survival that finally comes in theshape of love and motherhood.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,memoir-autobiography
Steve Jobs,Walter Isaacson,4.16,Biography,"Walter Isaacson's worldwide bestselling biography of Apple cofounder Steve Jobs. Based on more than forty interviews with Steve Jobs conducted over two years--as well as interviews with more than 100 family members, friends, adversaries, competitors, and colleagues--Walter Isaacson has written a riveting story of the roller-coaster life and searingly intense personality of a creative entrepreneur whose passion for perfection and ferocious drive revolutionized six industries: personal computers, animated movies, music, phones, tablet computing, and digital publishing. Isaacson's portrait touched millions of readers. At a time when America is seeking ways to sustain its innovative edge, Jobs stands as the ultimate icon of inventiveness and applied imagination. He knew that the best way to create value in the twenty-first century was to connect creativity with technology. He built a company where leaps of the imagination were combined with remarkable feats of engineering. Although Jobs cooperated with the author, he asked for no control over what was written. He put nothing off-limits. He encouraged the people he knew to speak honestly. He himself spoke candidly about the people he worked with and competed against. His friends, foes, and colleagues offer an unvarnished view of the passions, perfectionism, obsessions, artistry, devilry, and compulsion for control that shaped his approach to business and the innovative products that resulted. His tale is instructive and cautionary, filled with lessons about innovation, character, leadership, and values. Steve Jobs is the inspiration for the movie of the same name starring Michael Fassbender, Kate Winslet, Seth Rogen, and Jeff Daniels, directed by Danny Boyle with a screenplay by Aaron Sorkin.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,history-biography
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,3.88,History,"The time is 1933, the place, Berlin, when William E. Dodd becomes America's first ambassador to Hitler's Germany in a year that proved to be a turning point in history.A mild-mannered professor from Chicago, Dodd brings along his wife, son, and flamboyant daughter, Martha. At first Martha is entranced by the parties and pomp, and the handsome young men of the Third Reich with their infectious enthusiasm for restoring Germany to a position of world prominence. Enamored of the New Germany, she has one affair after another, including with the surprisingly honorable first chief of the Gestapo, Rudolf Diels. But as evidence of Jewish persecution mounts, confirmed by chilling first-person testimony, her father telegraphs his concerns to a largely indifferent State Department back home. Dodd watches with alarm as Jews are attacked, the press is censored, and drafts of frightening new laws begin to circulate. As that first year unfolds and the shadows deepen, the Dodds experience days full of excitement, intrigue, romance and ultimately, horror, when a climactic spasm of violence and murder reveals Hitler's true character and ruthless ambition.Suffused with the tense atmosphere of the period, and with unforgettable portraits of the bizarre Goring and the expectedly charming—yet wholly sinister—Goebbels,In the Garden of Beastslends a stunning, eyewitness perspective on events as they unfold in real time, revealing an era of surprising nuance and complexity. The result is a dazzling, addictively readable work that speaks volumes about why the world did not recognize the grave threat posed by Hitler until Berlin, and Europe, were awash in blood and terror.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,history-biography
Catherine the Great: Portrait of a Woman,Robert K. Massie,3.94,History,"Pulitzer Prize winner Massie offers the tale of a princess who went to Russia at 14 and became one of the most powerful women in history. Born into minor German nobility, she transformed herself into an empress by sheer determination. Possessing a brilliant, curious mind, she devoured the works of Enlightenment philosophers, and reaching the throne, tried using their principles to rule the vast, backward empire. She knew or corresponded with notable figures of her time: Voltaire, Diderot, Frederick the Great, Maria Theresa of Austria, Marie Antoinette & John Paul Jones. Wanting to be the “benevolent despot” Montesquieu idealized, she contended with the deeply ingrained realities of Russian life, including serfdom. She persevered, and for 34 years the government, foreign policy, cultural development and welfare of the Russian people were in her hands. She dealt with domestic rebellion, wars & the tides of political change and violence inspired by the French Revolution. Her reputation depended on the perspective of the speaker. She was praised by Voltaire as like the classical philosophers. She was condemned by enemies, mostly foreign, as “the Messalina of the north.” Her family, friends, ministers, generals, lovers and enemies are vividly described. These included her ambitious, scheming mother; her weak, bullying husband, Peter (who left her sexually untouched for nine years after their marriage); her unhappy son & heir, Paul; her beloved grandchildren; and her favorites—the young men from whom she sought companionship and the recapture of youth as well as sex. Here, too, is Gregory Potemkin, her most significant lover & possible husband, with whom she shared a correspondence of love & separation, followed by 17 years of unparalleled mutual achievement. All the qualities that Massie brought to Nicholas & Alexandra and Peter the Great are present: historical accuracy, deep understanding, felicity of style, mastery of detail, ability to shatter myth & a genius for finding and expressing a human drama.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,history-biography
Area 51: An Uncensored History of America's Top Secret Military Base,Annie Jacobsen,3.82,Nonfiction,"It is the most famous military installation in the world. And it doesn’t exist. Located a mere seventy-five miles outside of Las Vegas in Nevada’s desert, the base has never been acknowledged by the U.S. government-but Area 51 has captivated imaginations for decades.Myths and hypotheses about Area 51 have long abounded, thanks to the intense secrecy enveloping it. Some claim it is home to aliens, underground tunnel systems, and nuclear facilities. Others believe that the lunar landing itself was filmed there. The prevalence of these rumors stems from the fact that no credible insider has ever divulged the truth about his time inside the base. Until now.Annie Jacobsen had exclusive access to nineteen men who served the base proudly and secretly for decades and are now aged 75-92, and unprecedented access to fifty-five additional military and intelligence personnel, scientists, pilots, and engineers linked to the secret base, thirty-two of whom lived and worked there for extended periods. InArea 51, Jacobsen shows us what has really gone on in the Nevada desert, from testing nuclear weapons to building super-secret, supersonic jets to pursuing the War on Terror.This is the first book based on interviews with eye witnesses to Area 51 history, which makes it the seminal work on the subject. Filled with formerly classified information that has never been accurately decoded for the public,Area 51weaves the mysterious activities of the top-secret base into a gripping narrative, showing that facts are often more fantastic than fiction, especially when the distinction is almost impossible to make.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,history-biography
"The Dressmaker of Khair Khana: Five Sisters, One Remarkable Family, and the Woman Who Risked Everything to Keep Them Safe",Gayle Tzemach Lemmon,3.75,Nonfiction,"The life Kamila Sidiqi had known changed overnight when the Taliban seized control of the city of Kabul. After receiving a teaching degree during the civil war—a rare achievement for any Afghan woman—Kamila was subsequently banned from school and confined to her home. When her father and brother were forced to flee the city, Kamila became the sole breadwinner for her five siblings. Armed only with grit and determination, she picked up a needle and thread and created a thriving business of her own.The Dressmaker of Khair Khanatells the incredible true story of this unlikely entrepreneur who mobilized her community under the Taliban. Former ABC Newsreporter Gayle Tzemach Lemmon spent years on the ground reporting Kamila's story, and the result is an unusually intimate and unsanitized look at the daily lives of women in Afghanistan. These women are not victims; they are the glue that holds families together; they are the backbone and the heart of their nation.Afghanistan's future remains uncertain as debates over withdrawal timelines dominate the news.The Dressmaker of Khair Khanamoves beyond the headlines to transport you to an Afghanistan you have never seen before. This is a story of war, but it is also a story of sisterhood and resilience in the face of despair. Kamila Sidiqi's journey will inspire you, but it will also change the way you think about one of the most important political and humanitarianissues of our time.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,history-biography
The Greater Journey: Americans in Paris,David McCullough,3.94,History,"The Greater Journey is the enthralling, inspiring - and until now, untold - story of the adventurous American artists, writers, doctors, politicians, architects, and others of high aspiration who set off for Paris in the years between 1830 and 1900, ambitious to excel in their work.After risking the hazardous journey across the Atlantic, these Americans embarked on a greater journey in the City of Light. Most had never left home, never experienced a different culture. None had any guarantee of success. That they achieved so much for themselves and their country profoundly altered American history. As David McCullough writes, ""Not all pioneers went west."" Elizabeth Blackwell, the first female doctor in America, was one of this intrepid band. Another was Charles Sumner, who enrolled at the Sorbonne because of a burning desire to know more about everything. There he saw black students with the same ambition he had, and when he returned home, he would become the most powerful, unyielding voice for abolition in the U.S. Senate, almost at the cost of his life.Two staunch friends, James Fenimore Cooper and Samuel F. B. Morse, worked unrelentingly every day in Paris, Cooper writing and Morse painting what would be his masterpiece. From something he saw in France, Morse would also bring home his momentous idea for the telegraph.Pianist Louis Moreau Gottschalk from New Orleans launched his spectacular career performing in Paris at age 15. George P. A. Healy, who had almost no money and little education, took the gamble of a lifetime and with no prospects whatsoever in Paris became one of the most celebrated portrait painters of the day. His subjects included Abraham Lincoln.Medical student Oliver Wendell Holmes wrote home of his toil and the exhilaration in ""being at the center of things"" in what was then the medical capital of the world. From all they learned in Paris, Holmes and his fellow ""medicals"" were to exert lasting influence on the profession of medicine in the United States.Writers Ralph Waldo Emerson, Nathaniel Hawthorne, Mark Twain, and Henry James were all ""discovering"" Paris, marveling at the treasures in the Louvre, or out with the Sunday throngs strolling the city's boulevards and gardens. ""At last I have come into a dreamland,"" wrote Harriet Beecher Stowe, seeking escape from the notoriety Uncle Tom's Cabin had brought her. Almost forgotten today, the heroic American ambassador Elihu Washburne bravely remained at his post through the Franco-Prussian War, the long Siege of Paris and even more atrocious nightmare of the Commune. His vivid account in his diary of the starvation and suffering endured by the people of Paris (drawn on here for the first time) is one readers will never forget. The genius of sculptor Augustus Saint-Gaudens, the son of an immigrant shoemaker, and of painters Mary Cassatt and John Singer Sargent, three of the greatest American artists ever, would flourish in Paris, inspired by the examples of brilliant French masters, and by Paris itself.Nearly all of these Americans, whatever their troubles learning French, their spells of homesickness, and their suffering in the raw cold winters by the Seine, spent many of the happiest days and nights of their lives in Paris. McCullough tells this sweeping, fascinating story with power and intimacy, bringing us into the lives of remarkable men and women who, in Saint-Gaudens's phrase, longed ""to soar into the blue."" The Greater Journey is itself a masterpiece.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,history-biography
Malcolm X: A Life of Reinvention,Manning Marable,4.18,Biography,"Selected byThe New York Times Book Reviewas a Notable Book of the Year Years in the making-the definitive biography of the legendary black activist.Of the great figure in twentieth-century American history perhaps none is more complex and controversial than Malcolm X. Constantly rewriting his own story, he became a criminal, a minister, a leader, and an icon, all before being felled by assassins' bullets at age thirty-nine. Through his tireless work and countless speeches he empowered hundreds of thousands of black Americans to create better lives and stronger communities while establishing the template for the self-actualized, independent African American man. In death he became a broad symbol of both resistance and reconciliation for millions around the world.Manning Marable's new biography of Malcolm is a stunning achievement. Filled with new information and shocking revelations that go beyond theAutobiography, Malcolm Xunfolds a sweeping story of race and class in America, from the rise of Marcus Garvey and the Ku Klux Klan to the struggles of the civil rights movement in the fifties and sixties. Reaching into Malcolm's troubled youth, it traces a path from his parents' activism through his own engagement with the Nation of Islam, charting his astronomical rise in the world of Black Nationalism and culminating in the never-before-told true story of his assassination.Malcolm Xwill stand as the definitive work on one of the most singular forces for social change, capturing with revelatory clarity a man who constantly strove, in the great American tradition, to remake himself anew.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,history-biography
The Murder of the Century: The Gilded Age Crime that Scandalized a City and Sparked the Tabloid Wars,Paul  Collins,3.58,Nonfiction,"On Long Island, a farmer finds a duck pond turned red with blood. On the Lower East Side, two boys playing at a pier discover a floating human torso wrapped tightly in oilcloth. Blueberry pickers near Harlem stumble upon neatly severed limbs in an overgrown ditch. Clues to a horrifying crime are turning up all over New York, but the police are baffled: There are no witnesses, no motives, no suspects.The grisly finds that began on the afternoon of June 26, 1897, plunged detectives headlong into the era's most baffling murder mystery. Seized upon by battling media moguls Joseph Pulitzer and William Randolph Hearst, the case became a publicity circus. Reenactments of the murder were staged in Times Square, armed reporters lurked in the streets of Hell's Kitchen in pursuit of suspects, and an unlikely trio — a hard-luck cop, a cub reporter, and an eccentric professor — all raced to solve the crime.What emerged was a sensational love triangle and an even more sensational trial: an unprecedented capital case hinging on circumstantial evidence around a victim whom the police couldn't identify with certainty, and who the defense claimed wasn't even dead.The Murder of the Centuryis a rollicking tale — a rich evocation of America during the Gilded Age and a colorful re-creation of the tabloid wars that have dominated media to this day.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,history-biography
"Destiny of the Republic: A Tale of Madness, Medicine and the Murder of a President",Candice Millard,4.20,History,"James A. Garfield was one of the most extraordinary men ever elected president. Born into abject poverty, he rose to become a wunderkind scholar, a Civil War hero, and a renowned and admired reformist congressman. Nominated for president against his will, he engaged in a fierce battle with the corrupt political establishment. But four months after his inauguration, a deranged office seeker tracked Garfield down and shot him in the back.But the shot didn’t kill Garfield. The drama of what hap­pened subsequently is a powerful story of a nation in tur­moil. The unhinged assassin’s half-delivered strike shattered the fragile national mood of a country so recently fractured by civil war, and left the wounded president as the object of a bitter behind-the-scenes struggle for power—over his administration, over the nation’s future, and, hauntingly, over his medical care. A team of physicians administered shockingly archaic treatments, to disastrous effect. As his con­dition worsened, Garfield received help: Alexander Graham Bell, the inventor of the telephone, worked around the clock to invent a new device capable of finding the bullet.Meticulously researched, epic in scope, and pulsating with an intimate human focus and high-velocity narrative drive,The Destiny of the Republicwill stand alongsideThe Devil in the White CityandThe Professor and the Madmanas a classic of narrative history.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,history-biography
1861: The Civil War Awakening,Adam Goodheart,4.06,History,"As the United States marks the 150th anniversary of our defining national drama,1861presents a gripping and original account of how the Civil War began.1861is an epic of courage and heroism beyond the battlefields. Early in that fateful year, a second American revolution unfolded, inspiring a new generation to reject their parents’ faith in compromise and appeasement, to do the unthinkable in the name of an ideal. It set Abraham Lincoln on the path to greatness and millions of slaves on the road to freedom.The book introduces us to a heretofore little-known cast of Civil War heroes—among them an acrobatic militia colonel, an explorer’s wife, an idealistic band of German immigrants, a regiment of New York City firemen, a community of Virginia slaves, and a young college professor who would one day become president. Adam Goodheart takes us from the corridors of the White House to the slums of Manhattan, from the mouth of the Chesapeake to the deserts of Nevada, from Boston Common to Alcatraz Island, vividly evoking the Union at this moment of ultimate crisis and decision.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,history-biography
Endgame: Bobby Fischer's Remarkable Rise and Fall—From America's Brightest Prodigy to the Edge of Madness,Frank Brady,3.93,Biography,"Endgame is acclaimed biographer Frank Brady’s decades-in-the-making tracing of the meteoric ascent—and confounding descent —of enigmatic genius Bobby Fischer.  Only Brady, who met Fischer when the prodigy was only 10 and shared with him some of his most dramatic triumphs, could have written this book, which has much to say about the nature of American celebrity and the distorting effects of fame.  Drawing from Fischer family archives, recently released FBI files, and Bobby’s own emails, this account is unique in that it limns Fischer’s entire life—an odyssey that took the Brooklyn-raised chess champion from an impoverished childhood to the covers of Time, Life and Newsweek to recognition as “the most famous man in the world” to notorious recluse.At first all one noticed was how gifted Fischer was.  Possessing a 181 I.Q. and remarkable powers of concentration, Bobby memorized hundreds of chess books in several languages, and he was only 13 when he became the youngest chess master in U.S. history.   But his strange behavior started early.  In 1972, at the historic Cold War showdown in Reykjavik, Iceland, where he faced Soviet champion Boris Spassky, Fischer made headlines with hundreds of petty demands that nearly ended the competition.It was merely a prelude to what was to come.Arriving back in the United States to a hero’s welcome, Bobby was mobbed wherever he went—a figure as exotic and improbable as any American pop culture had yet produced.  No player of a mere “board game” had ever ascended to such heights.  Commercial sponsorship offers poured in, ultimately topping $10 million—but Bobby demurred.  Instead, he began tithing his limited money to an apocalyptic religion and devouring anti-Semitic literature.After years of poverty and a stint living on Los Angeles’ Skid Row, Bobby remerged in 1992 to play Spassky in a multi-million dollar rematch—but the experience only deepened a paranoia that had formed years earlier when he came to believe that the Soviets wanted him dead for taking away “their” title.  When the dust settled, Bobby was a wanted man—transformed into an international fugitive because of his decision to play in Montenegro despite U.S. sanctions.  Fearing for his life, traveling with bodyguards, and wearing a long leather coat to ward off knife attacks, Bobby lived the life of a celebrity fugitive – one drawn increasingly to the bizarre.  Mafiosi, Nazis, odd attempts to breed an heir who could perpetuate his chess-genius DNA—all are woven into his late-life tapestry.And yet, as Brady shows, the most notable irony of Bobby Fischer’s strange descent – which had reached full plummet by 2005 when he turned down yet another multi-million dollar payday—is that despite his incomprehensible behavior, there were many who remained fiercely loyal to him.  Why that was so is at least partly the subject of this book—one that at last answers the “Who was Bobby Fischer?”",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,history-biography
Unfamiliar Fishes,Sarah Vowell,3.64,History,"Many think of 1776 as the most defining year of American history, the year we became a nation devoted to the pursuit of happiness through self-government. In Unfamiliar Fishes, Sarah Vowell argues that 1898 might be a year just as crucial to our nation's identity, when, in an orgy of imperialism, the United States annexed Hawaii, Puerto Rico, and Guam, and invaded Cuba, and then the Philippines, becoming a meddling, self-serving, militaristic international superpower practically overnight.Of all the countries the United States invaded or colonized in 1898, Vowell considers the story of the Americanization of Hawaii to be the most intriguing. From the arrival of the New England missionaries in 1820, who came to Christianize the local heathen, to the coup d'etat led by the missionaries' sons in 1893, overthrowing the Hawaiian queen, the events leading up to American annexation feature a cast of beguiling if often appalling or tragic characters. Whalers who will fire cannons at the Bible-thumpers denying them their god-given right to whores. An incestuous princess pulled between her new god and her brother-husband. Sugar barons, con men, Theodore Roosevelt, and the last Hawaiian queen, a songwriter whose sentimental ode ""Aloha 'Oe"" serenaded the first Hawaii-born president of the United States during his 2009 inaugural parade.With Vowell's trademark wry insights and reporting, she lights out to discover the odd, emblematic, and exceptional history of the fiftieth state. In examining the place where Manifest Destiny got a sunburn, she finds America again, warts and all.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,history-biography
Killing Lincoln: The Shocking Assassination that Changed America Forever,Bill O'Reilly,4.04,History,Killing Lincoln( The Shocking Assassination That Changed America Forever) <> Compact Disc <> BillO'Reilly <> MacMillanAudio,https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,history-biography
1493: Uncovering the New World Columbus Created,Charles C. Mann,4.12,History,"From the author of 1491—the best-selling study of the pre-Columbian Americas—a deeply engaging new history of the most momentous biological event since the death of the dinosaurs.More than 200 million years ago, geological forces split apart the continents. Isolated from each other, the two halves of the world developed radically different suites of plants and animals. When Christopher Columbus set foot in the Americas, he ended that separation at a stroke. Driven by the economic goal of establishing trade with China, he accidentally set off an ecological convulsion as European vessels carried thousands of species to new homes across the oceans.The Columbian Exchange, as researchers call it, is the reason there are tomatoes in Italy, oranges in Florida, chocolates in Switzerland, and chili peppers in Thailand. More important, creatures the colonists knew nothing about hitched along for the ride. Earthworms, mosquitoes, and cockroaches; honeybees, dandelions, and African grasses; bacteria, fungi, and viruses; rats of every description—all of them rushed like eager tourists into lands that had never seen their like before, changing lives and landscapes across the planet.Eight decades after Columbus, a Spaniard named Legazpi succeeded where Columbus had failed. He sailed west to establish continual trade with China, then the richest, most powerful country in the world. In Manila, a city Legazpi founded, silver from the Americas, mined by African and Indian slaves, was sold to Asians in return for silk for Europeans. It was the first time that goods and people from every corner of the globe were connected in a single worldwide exchange. Much as Columbus created a new world biologically, Legazpi and the Spanish empire he served created a new world economically.As Charles C. Mann shows, the Columbian Exchange underlies much of subsequent human history. Presenting the latest research by ecologists, anthropologists, archaeologists, and historians, Mann shows how the creation of this worldwide network of ecological and economic exchange fostered the rise of Europe, devastated imperial China, convulsed Africa, and for two centuries made Mexico City—where Asia, Europe, and the new frontier of the Americas dynamically interacted—the center of the world. In such encounters, he uncovers the germ of today’s fiercest political disputes, from immigration to trade policy to culture wars.In 1493, Charles Mann gives us an eye-opening scientific interpretation of our past, unequaled in its authority and fascination",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,history-biography
A Singular Woman: The Untold Story of Barack Obama's Mother,Janny Scott,3.86,Biography,"A major publishing an unprecedented look into the life of the woman who most singularly shaped Barack Obama--his mother.Barack Obama has written extensively about his father, but little is known about Stanley Ann Dunham, the fiercely independent woman who raised him, the person he credits for, as he says, ""what is best in me."" Here is the missing piece of the story.Award-winning reporter Janny Scott interviewed nearly two hundred of Dunham's friends, colleagues, and relatives (including both her children), and combed through boxes of personal and professional papers, letters to friends, and photo albums, to uncover the full breadth of this woman's inspiring and untraditional life, and to show the remarkable extent to which she shaped the man Obama is today.Dunham's story moves from Kansas and Washington state to Hawaii and Indonesia. It begins in a time when interracial marriage was still a felony in much of the United States, and culminates in the present, with her son as our president- something she never got to see. It is a poignant look at how character is passed from parent to child, and offers insight into how Obama's destiny was created early, by his mother's extraordinary faith in his gifts, and by her unconventional mothering. Finally, it is a heartbreaking story of a woman who died at age fifty-two, before her son would go on to his greatest accomplishments and reflections of what she taught him.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,history-biography
Bossypants,Tina Fey,3.96,Nonfiction,"Before Liz Lemon, before ""Weekend Update,"" before ""Sarah Palin,"" Tina Fey was just a young girl with a dream: a recurring stress dream that she was being chased through a local airport by her middle-school gym teacher. She also had a dream that one day she would be a comedian on TV.She has seen both these dreams come true.At last, Tina Fey's story can be told. From her youthful days as a vicious nerd to her tour of duty onSaturday Night Live; from her passionately halfhearted pursuit of physical beauty to her life as a mother eating things off the floor; from her one-sided college romance to her nearly fatal honeymoon—from the beginning of this paragraph to this final sentence.Tina Fey reveals all, and proves what we've all suspected: you're no one until someone calls you bossy.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,humor
Go the Fuck to Sleep,Adam Mansbach,4.27,Humor,"Go the Fuck to Sleepis a bedtime book for parents who live in the real world, where a few snoozing kitties and cutesy rhymes don't always send a toddler sailing blissfully off to dreamland. Profane, affectionate, and radically honest, California Book Award-winning author Adam Mansbach's verses perfectly capture the familiar -- and unspoken -- tribulations of putting your little angel down for the night. In the process, he opens up a conversation about parenting, granting us permission to admit our frustrations and laugh at their absurdities.With illustrations by Ricardo Cortes,Go the Fuck to Sleepis beautiful, subversive and pants-wettingly funny, a book for parents new, old and expectant. You probably should not read it to your children.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,humor
If You Ask Me,Betty White,3.76,Nonfiction,"It-girl Betty White delivers a hilarious, slyly profound take on love, life, celebrity, and everything in between.Drawing from a lifetime of lessons learned, seven-time Emmy winner Betty White's wit and wisdom take center stage as she tackles topics like friendship, romantic love, aging, television, fans, love for animals, and the brave new world of celebrity. If You Ask Me mixes her thoughtful observations with humorous stories from a seven- decade career in Hollywood. Longtime fans and new fans alike will relish Betty's candid take on everything from her rumored crush on Robert Redford (true) to her beauty regimen (""I have no idea what color my hair is and I never intend to find out"") to the Facebook campaign that helped persuade her to host Saturday Night Live despite her having declined the hosting job three times already.Featuring all-new material, with a focus on the past fifteen years of her life, If You Ask Me is funny, sweet, and to the point-just like Betty White.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,humor
Is Everyone Hanging Out Without Me?,Mindy Kaling,3.86,Nonfiction,"Mindy Kaling has lived many lives: the obedient child of immigrant professionals, a timid chubster afraid of her own bike, a Ben Affleck - impersonating Off-Broadway performer and playwright, and, finally, a comedy writer and actress prone to starting fights with her friends and coworkers with the sentence ""Can I just say one last thing about this, and then I swear I'll shut up about it?""Perhaps you want to know what Mindy thinks makes a great best friend (someone who will fill your prescription in the middle of the night), or what makes a great guy (one who is aware of all elderly people in any room at any time and acts accordingly), or what is the perfect amount of fame (so famous you can never get convicted of murder in a court of law), or how to maintain a trim figure (you will not find that information in these pages). If so, you've come to the right book, mostly!In Is Everyone Hanging Out Without Me?, Mindy invites readers on a tour of her life and her unscientific observations on romance, friendship, and Hollywood, with several conveniently placed stopping points for you to run errands and make phone calls. Mindy Kaling really is just a Girl Next Door - not so much literally anywhere in the continental United States, but definitely if you live in India or Sri Lanka.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,humor
Lies That Chelsea Handler Told Me,Chelsea Handler,3.75,Nonfiction,"""My tendency to make up stories and lie compulsively for the sake of my own amusement takes up a good portion of my day and provides me with a peace of mind not easily attainable in this economic climate.""--Chelsea Handler, from Chapter 10 ofChelsea Chelsea Bang BangIt's no lie: Chelsea Handler loves to smoke out ""dumbassness,"" the condition people suffer from that allows them to fall prey to her brand of complete and utter nonsense. Friends, family, co-workers have all been tricked by Chelsea into believing stories of total foolishness and into behaving like total fools. Luckily, they've lived to tell the tales and, for the very first time, write about them.It doesn't matter if you're minding your own business, busily working, or honey-mooning thousands of miles away. No one is ever safe from Chelsea's fake e-mails and phony pregnancies, bogus smuggling schemes and made-up sports bets. Because whether it's premeditated or spur-of-the-moment, Chelsea will do anything for a laugh. And that's the truth.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,humor
Seriously... I'm Kidding,Ellen DeGeneres,3.68,Nonfiction,"""Sometimes the greatest things are the most embarrassing."" Ellen Degeneres' winning, upbeat candor has made her show one of the most popular, resilient and honored daytime shows on the air. (To date, it has won no fewer than 31 Emmys.)Seriously... I'm Kidding, Degeneres' first book in eight years, brings us up to date about the life of a kindhearted woman who bowed out ofAmerican Idolbecause she didn't want to be mean. Lively; hilarious; often sweetly poignant.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,humor
This is a Book,Demetri Martin,3.74,Humor,"From the renowned comedian, creator, star and executive producer/multiple title-holder of Comedy Central's Important Things with Demetri Martin comes a bold, original, and rectangular kind of humor book.Demetri's first literary foray features longer-form essays and conceptual pieces (such as Protagonists' Hospital , a melodrama about the clinic doctors who treat only the flesh wounds and minor head scratches of Hollywood action heroes), as well as his trademark charts, doodles, drawings, one-liners, and lists (i.e., the world views of optimists, pessimists and contortionists), Martin's material is varied, but his unique voice and brilliant mind will keep readers in stitches from beginning to end.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,humor
"God, No! Signs You May Already Be an Atheist and Other Magical Tales",Penn Jillette,3.66,Nonfiction,"A scathingly funny reinterpretation of the Ten Commandments from the larger, louder half of world-famous magic duo Penn and Teller reveals an atheist's experience in the world: from performing on the Vegas strip with Siegfried and Roy to children and fatherhood to his ongoing dialogue with proselytizers of the Christian Right and the joys of sex while scuba-diving, Penn has an outrageous sense of humor and a brilliantly entertaining opinion on, well, anything you care to think of.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,humor
It Looked Different on the Model: Epic Tales of Impending Shame and Infamy,Laurie Notaro,3.77,Humor,"#1 NEW YORK TIMES BESTSELLEREveryone’s favorite Idiot Girl, Laurie Notaro, is just trying to find the right fit, whether it’s in the adorable blouse that looks charming on the mannequin but leaves her in a literal bind or in her neighborhood after she’s shamefully exposed at a holiday party by delivering a low-quality rendition of “Jingle Bells.” Notaro makes misstep after riotous misstep as she shares tales of marriage and family, including stories about the dog-bark translator that deciphers Notaro’s and her husband’s own “woofs” a little too accurately, the emails from her mother with “FWD” in the subject line (“which in email code means Forecasting World Destruction”), and the dead-of-night shopping sprees and Devil Dog–devouring monkeyshines of a creature known as “Ambien Laurie.” At every turn, Notaro’s pluck and irresistible candor set the New York Times bestselling author on a journey that’s laugh-out-loud funny and utterly unforgettable.",https://www.goodreads.com/blog/show/2728-readers-top-100-romances-of-the-past-three-years?ref=Top100Rom24_eb,2011,humor
